Publication_number,Reference,Journal,Study,Case_study,Country,lab_or_field_experiment,Original_Site,original_decimals_latitude,original_decimals_longtitude,Original_Altitude.m.a.s.l..,Incubation_Site,incubation_decimal_latitudes,incubation_decimal_longtitude,Incubation_Altitude.m.a.s.l..,Incubation_annual_precipitation_.mm.,incubation_site_annual_temperature,Incubation_site_annual_min_temperatur_.degrees_C.,Incubation_site_annual_max_temperatur_.degrees_C.,Tree_species,Clade,Genus,family,natural_wood_or_block,wood_diameter,woody_debris_type,Diameter_range.mm.,wood_size_class,WD_Decay_class,Start_time,Finish_time,Study_duration_months,Treatments_type,Position_to_soil,Wood_density_initial,Stem_dry_matter_content..SDMC..g.g.1.,Wood_initial_Carbon,Wood_initial_Nitrogen,Wood_initial_Phophorus,Wood_initial_Potassium,Wood_initial_Lignin_perc,Wood_initial_Cellulose,Wood_initial_Hemicellulose,Wood_initial_Calcium,Wood_density_afterdecay,Fauna_group,Target_variable,Target_variable_loss_Exclusion,Target_variable_loss_Access,k_Exclusion,k_Access,sd_exclusion,sd_inclusion,n_sample_Exclusion,n_sample_Acess,Bark_status_presence_or_absent,Note..give.more.detailed.on.method.used.to.exclude.invertebrates.,Termites_type,Data_extracted_by
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Tanzania,field,TAN_Savanna,-3.317311,37.682443,NA,TAN_Savanna,-3.317311,37.682443,NA,NA,NA,NA,NA,Boswellia neglecta,angiosperm,Boswellia,Burseraceae,natural,30,woody,NA,fine,NA,NA,NA,24,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,-24.82441399,-14.18656344,NA,NA,2.60204131,20.94952489,2,5,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Australia,field,AUS_Cairns,-17.283333,145.4,NA,AUS_Cairns,-17.283333,145.4,NA,NA,NA,NA,NA,Brachychiton acerifolius,angiosperm,Brachychiton,Sterculiaceae,natural,30,woody,NA,fine,NA,NA,NA,14,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,17.74606011,21.65432332,NA,NA,2.606962213,12.13687645,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Pourto rico,field,PRI_Ceiba,18.22921,-65.59922,NA,PRI_Ceiba,18.22921,-65.59922,NA,NA,NA,NA,NA,Terminalia buceras,angiosperm,Bucida,Combretaceae,natural,30,woody,NA,fine,NA,NA,NA,13,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,24.30897491,50.573699,NA,NA,5.403161816,11.97091501,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Pourto rico,field,PRI_Ceiba,18.22921,-65.59922,NA,PRI_Ceiba,18.22921,-65.59922,NA,NA,NA,NA,NA,Terminalia buceras,angiosperm,Bucida,Combretaceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,69.73089023,90.92452203,NA,NA,13.7764539,7.68449028,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Pourto rico,field,PRI_Ceiba,18.22921,-65.59922,NA,PRI_Ceiba,18.22921,-65.59922,NA,NA,NA,NA,NA,Terminalia buceras,angiosperm,Bucida,Combretaceae,natural,30,woody,NA,fine,NA,NA,NA,37,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,44.89072082,83.98427626,NA,NA,7.547591414,17.72066422,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Australia,field,AUS_Cairns,-17.283333,145.4,NA,AUS_Cairns,-17.283333,145.4,NA,NA,NA,NA,NA,Cardwellia sublimis,angiosperm,Cardwellia,Proteaceae,natural,30,woody,NA,fine,NA,NA,NA,14,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,-16.3584747,26.11870869,NA,NA,22.22865071,13.59317186,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,France,field,France,44.022167,1.754111,NA,France,44.022167,1.754111,NA,NA,NA,NA,NA,Carpinus betulus,angiosperm,Carpinus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,2.278820101,-1.913883489,NA,NA,7.877110052,5.656980173,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,France,field,France,44.022167,1.754111,NA,France,44.022167,1.754111,NA,NA,NA,NA,NA,Carpinus betulus,angiosperm,Carpinus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,24,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,7.638935481,24.80775728,NA,NA,14.88765922,12.63156797,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,France,field,France,44.022167,1.754111,NA,France,44.022167,1.754111,NA,NA,NA,NA,NA,Carpinus betulus,angiosperm,Carpinus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,37,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,39.10038148,18.48929709,NA,NA,15.23359325,14.40880878,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Hungary,field,HUN,47.676708,18.910347,NA,HUN,47.676708,18.910347,NA,NA,NA,NA,NA,Carpinus betulus,angiosperm,Carpinus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,3.014689645,3.865484706,NA,NA,6.029574448,4.464803904,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Hungary,field,HUN,47.676708,18.910347,NA,HUN,47.676708,18.910347,NA,NA,NA,NA,NA,Carpinus betulus,angiosperm,Carpinus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,22.14017058,34.38213753,NA,NA,4.809678283,4.96498406,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Iran,field,IRA,36.533333,53.116667,NA,IRA,36.533333,53.116667,NA,NA,NA,NA,NA,Carpinus betulus,angiosperm,Carpinus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,10,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,13.35012135,30.04985376,NA,NA,11.54117057,5.296371684,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Iran,field,IRA,36.533333,53.116667,NA,IRA,36.533333,53.116667,NA,NA,NA,NA,NA,Carpinus betulus,angiosperm,Carpinus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,22,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,38.05064434,48.8938638,NA,NA,4.493870702,6.56769353,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Switzerland,field,SWI,46.252346,9.048371,NA,SWI,46.252346,9.048371,NA,NA,NA,NA,NA,Castanea sativa,angiosperm,Castanea,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,14,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,-0.751720304,-8.911812804,NA,NA,4.794593685,5.243997431,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Switzerland,field,SWI,46.252346,9.048371,NA,SWI,46.252346,9.048371,NA,NA,NA,NA,NA,Castanea sativa,angiosperm,Castanea,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,26,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,35.68338033,20.1597387,NA,NA,2.134006861,13.53576325,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Switzerland,field,SWI,46.252346,9.048371,NA,SWI,46.252346,9.048371,NA,NA,NA,NA,NA,Castanea sativa,angiosperm,Castanea,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,37,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,57.51351953,56.92463712,NA,NA,6.98126335,8.16561659,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,China,field,CHI_Yunnan2,25.004756,100.178781,NA,CHI_Yunnan2,25.004756,100.178781,NA,NA,NA,NA,NA,Castanopsis echinocarpa,angiosperm,Castanopsis,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,7.859748596,3.685671921,NA,NA,6.159473363,6.004141868,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,China,field,CHI_Yunnan2,25.004756,100.178781,NA,CHI_Yunnan2,25.004756,100.178781,NA,NA,NA,NA,NA,Castanopsis echinocarpa,angiosperm,Castanopsis,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,33.80289085,31.13357604,NA,NA,10.22853459,19.11403912,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,China,field,CHI_Gutianshan,29.171944,118.063611,NA,CHI_Gutianshan,29.171944,118.063611,NA,NA,NA,NA,NA,Castanopsis eyrei,angiosperm,Castanopsis,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,11,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,35.7789792,32.26607718,NA,NA,2.205573573,0.188430218,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,China,field,CHI_Gutianshan,29.171944,118.063611,NA,CHI_Gutianshan,29.171944,118.063611,NA,NA,NA,NA,NA,Castanopsis eyrei,angiosperm,Castanopsis,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,24,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,32.38251801,56.96665076,NA,NA,19.69616067,8.40617865,2,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Nepal,field,NEP,28.187772,83.990889,NA,NEP,28.187772,83.990889,NA,NA,NA,NA,NA,Castanopsis indica,angiosperm,Castanopsis,Fagaceae,natural,30,woody,NA,fine,NA,NA,NA,32,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,80.15599757,80.22522345,NA,NA,13.30519523,7.166206151,8,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,South Africa,field,SAF,-29.291,30.3612,NA,SAF,-29.291,30.3612,NA,NA,NA,NA,NA,Celtis africana,angiosperm,Celtis,Cannabaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,5.94023389,12.46873356,NA,NA,16.17026207,6.916422679,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,South Africa,field,SAF,-29.291,30.3612,NA,SAF,-29.291,30.3612,NA,NA,NA,NA,NA,Celtis africana,angiosperm,Celtis,Cannabaceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,40.75821502,39.17602455,NA,NA,8.997693233,1.203931881,2,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,South Africa,field,SAF,-29.291,30.3612,NA,SAF,-29.291,30.3612,NA,NA,NA,NA,NA,Celtis africana,angiosperm,Celtis,Cannabaceae,natural,30,woody,NA,fine,NA,NA,NA,36,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,41.42130151,48.45295416,NA,NA,16.77138033,5.829377174,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Philipines,field,PHI,14.1461667,121.2290167,NA,PHI,14.1461667,121.2290167,NA,NA,NA,NA,NA,Celtis luzonica,angiosperm,Celtis,Cannabaceae,natural,30,woody,NA,fine,NA,NA,NA,13,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,41.70101101,45.10528573,NA,NA,9.722023496,42.56051327,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Philipines,field,PHI,14.1461667,121.2290167,NA,PHI,14.1461667,121.2290167,NA,NA,NA,NA,NA,Celtis luzonica,angiosperm,Celtis,Cannabaceae,natural,30,woody,NA,fine,NA,NA,NA,18,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,57.11598128,60.02734623,NA,NA,30.38484635,42.79731901,5,5,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Israel,field,ISR,32.707778,35.023056,NA,ISR,32.707778,35.023056,NA,NA,NA,NA,NA,Ceratonia siliqua,angiosperm,Ceratonia,Fabaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,26.2856545,26.57222674,NA,NA,10.1759864,2.505829239,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Israel,field,ISR,32.707778,35.023056,NA,ISR,32.707778,35.023056,NA,NA,NA,NA,NA,Ceratonia siliqua,angiosperm,Ceratonia,Fabaceae,natural,30,woody,NA,fine,NA,NA,NA,28,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,28.49391083,31.87245566,NA,NA,3.348613856,8.403079607,4,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,South Africa,field,SAF,-29.291,30.3612,NA,SAF,-29.291,30.3612,NA,NA,NA,NA,NA,Noronhia peglerae,angiosperm,Chionanthus,Oleaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,-29.82186264,-26.18395424,NA,NA,4.542632073,11.00535667,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,South Africa,field,SAF,-29.291,30.3612,NA,SAF,-29.291,30.3612,NA,NA,NA,NA,NA,Noronhia peglerae,angiosperm,Chionanthus,Oleaceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,35.66824167,11.5507657,NA,NA,5.244882483,3.946668769,2,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,South Africa,field,SAF,-29.291,30.3612,NA,SAF,-29.291,30.3612,NA,NA,NA,NA,NA,Noronhia peglerae,angiosperm,Chionanthus,Oleaceae,natural,30,woody,NA,fine,NA,NA,NA,36,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,29.79993035,22.99972204,NA,NA,2.615296136,2.709070794,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Argentina,field,ARG_Tucuman,-26.769611,-65.327472,NA,ARG_Tucuman,-26.769611,-65.327472,NA,NA,NA,NA,NA,Ocotea porphyria,angiosperm,Cinnamomum,Lauraceae,natural,30,woody,NA,fine,NA,NA,NA,13,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,56.6207966,46.86814019,NA,NA,8.056015939,13.07508605,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Argentina,field,ARG_Tucuman,-26.769611,-65.327472,NA,ARG_Tucuman,-26.769611,-65.327472,NA,NA,NA,NA,NA,Ocotea porphyria,angiosperm,Cinnamomum,Lauraceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,67.83521186,49.88642323,NA,NA,2.669551713,5.38742566,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Argentina,field,ARG_Tucuman,-26.769611,-65.327472,NA,ARG_Tucuman,-26.769611,-65.327472,NA,NA,NA,NA,NA,Ocotea porphyria,angiosperm,Cinnamomum,Lauraceae,natural,30,woody,NA,fine,NA,NA,NA,37,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,81.56059272,92.19204243,NA,NA,2.843491865,5.696081408,3,2,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,UK,field,UK,54.233194,-3.030944,NA,UK,54.233194,-3.030944,NA,NA,NA,NA,NA,Corylus avellana,angiosperm,Corylus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,14.20783406,13.63672275,NA,NA,4.508988721,15.08056895,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,UK,field,UK,54.233194,-3.030944,NA,UK,54.233194,-3.030944,NA,NA,NA,NA,NA,Corylus avellana,angiosperm,Corylus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,24,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,29.64963527,25.31316967,NA,NA,10.99716639,4.628333897,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,UK,field,UK,54.233194,-3.030944,NA,UK,54.233194,-3.030944,NA,NA,NA,NA,NA,Corylus avellana,angiosperm,Corylus,Betulaceae,natural,30,woody,NA,fine,NA,NA,NA,36,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,34.51820756,38.254263,NA,NA,6.69583535,15.34754443,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Australia,field,AUS_Perth,-32.243,116.129,NA,AUS_Perth,-32.243,116.129,NA,NA,NA,NA,NA,Corymbia calophylla,angiosperm,Corymbia,Myrtaceae,natural,30,woody,NA,fine,NA,NA,NA,14,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,1.917706079,-0.223930967,NA,NA,3.81197267,3.336174331,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Australia,field,AUS_Perth,-32.243,116.129,NA,AUS_Perth,-32.243,116.129,NA,NA,NA,NA,NA,Corymbia calophylla,angiosperm,Corymbia,Myrtaceae,natural,30,woody,NA,fine,NA,NA,NA,27,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,23.09045051,14.74031261,NA,NA,4.902519696,4.074782114,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Australia,field,AUS_Perth,-32.243,116.129,NA,AUS_Perth,-32.243,116.129,NA,NA,NA,NA,NA,Corymbia calophylla,angiosperm,Corymbia,Myrtaceae,natural,30,woody,NA,fine,NA,NA,NA,43,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,59.94012152,23.20036564,NA,NA,4.415228313,3.913984797,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Argentina,field,ARG_Chaco,-27.428667,-58.890393,NA,ARG_Chaco,-27.428667,-58.890393,NA,NA,NA,NA,NA,Croton urucurana,angiosperm,Croton,Euphorbiaceae,natural,30,woody,NA,fine,NA,NA,NA,15,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,40.11876435,30.94734508,NA,NA,7.622398699,NA,3,1,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,China,field,CHI_Heishiding,23.45,111.883333,NA,CHI_Heishiding,23.45,111.883333,NA,NA,NA,NA,NA,Cryptocarya concinna,angiosperm,Cryptocarya,Lauraceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,33.4654138,33.10907751,NA,NA,6.44248116,1.92977918,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,China,field,CHI_Heishiding,23.45,111.883333,NA,CHI_Heishiding,23.45,111.883333,NA,NA,NA,NA,NA,Cryptocarya concinna,angiosperm,Cryptocarya,Lauraceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,52.66351978,46.29173616,NA,NA,3.982152004,12.88549128,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,India,field,IND_high,8.54852,77.389078,NA,IND_high,8.54852,77.389078,NA,NA,NA,NA,NA,Cullenia exarillata,angiosperm,Cullenia,Malvaceae,natural,30,woody,NA,fine,NA,NA,NA,12,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,16.29524556,16.14779344,NA,NA,2.266810448,6.816481893,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,India,field,IND_high,8.54852,77.389078,NA,IND_high,8.54852,77.389078,NA,NA,NA,NA,NA,Cullenia exarillata,angiosperm,Cullenia,Malvaceae,natural,30,woody,NA,fine,NA,NA,NA,24,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,33.48854137,32.85040449,NA,NA,9.238959997,7.149062205,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Argentina,field,ARG_Tucuman,-26.769611,-65.327472,NA,ARG_Tucuman,-26.769611,-65.327472,NA,NA,NA,NA,NA,Cupania vernalis,angiosperm,Cupania,Sapindaceae,natural,30,woody,NA,fine,NA,NA,NA,13,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,49.5556475,38.5700638,NA,NA,6.219325119,NA,3,1,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
9,Seibold et al 2021,Nature,The contribution of insects to global forest deadwood decomposition,closed vs open,Argentina,field,ARG_Tucuman,-26.769611,-65.327472,NA,ARG_Tucuman,-26.769611,-65.327472,NA,NA,NA,NA,NA,Cupania vernalis,angiosperm,Cupania,Sapindaceae,natural,30,woody,NA,fine,NA,NA,NA,25,physical,surface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Termites,mass loss,60.19733895,57.8480565,NA,NA,7.317938494,12.53395168,3,3,present,fauna was excluded by cages with 0.5 mm mesh sizes,NA,Denis Mburu Njoroge
